seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: TrimmedMean, attack_params: {'scaling_factor': 0.5}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/IPM_TrimmedMean/200_20_4_0.05_2025-03-20_11-17-16.txt

Started on Thu Mar 20 11:17:16 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.5
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1102	Train loss: 0.0181	Test Acc: 0.1339	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1293	Train loss: 0.0177	Test Acc: 0.1003	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1988	Train loss: 0.0176	Test Acc: 0.1035	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2121	Train loss: 0.0173	Test Acc: 0.2095	Test loss: 0.0180
Epoch 4  	Train Acc: 0.2641	Train loss: 0.0168	Test Acc: 0.2774	Test loss: 0.0179
Epoch 5  	Train Acc: 0.2953	Train loss: 0.0161	Test Acc: 0.2821	Test loss: 0.0178
Epoch 6  	Train Acc: 0.3005	Train loss: 0.0166	Test Acc: 0.2749	Test loss: 0.0177
Epoch 7  	Train Acc: 0.3250	Train loss: 0.0152	Test Acc: 0.2765	Test loss: 0.0175
Epoch 8  	Train Acc: 0.3336	Train loss: 0.0145	Test Acc: 0.2676	Test loss: 0.0173
Epoch 9  	Train Acc: 0.3320	Train loss: 0.0145	Test Acc: 0.2272	Test loss: 0.0171
Epoch 10 	Train Acc: 0.3359	Train loss: 0.0142	Test Acc: 0.2178	Test loss: 0.0170
Epoch 11 	Train Acc: 0.3458	Train loss: 0.0169	Test Acc: 0.2202	Test loss: 0.0168
Epoch 12 	Train Acc: 0.3923	Train loss: 0.0176	Test Acc: 0.2274	Test loss: 0.0166
