seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MinMax, defense: TrimmedMean, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_TrimmedMean/200_20_6_0.05_2025-03-12_13-37-36.txt

Started on Wed Mar 12 13:37:36 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1016	Train loss: 0.0184	Test Acc: 0.1397	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1727	Train loss: 0.0177	Test Acc: 0.1637	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1969	Train loss: 0.0172	Test Acc: 0.1933	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2504	Train loss: 0.0164	Test Acc: 0.2159	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3098	Train loss: 0.0156	Test Acc: 0.2625	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3332	Train loss: 0.0149	Test Acc: 0.2682	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3395	Train loss: 0.0144	Test Acc: 0.2556	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3336	Train loss: 0.0142	Test Acc: 0.2449	Test loss: 0.0169
Epoch 8  	Train Acc: 0.3770	Train loss: 0.0137	Test Acc: 0.2403	Test loss: 0.0168
Epoch 9  	Train Acc: 0.3820	Train loss: 0.0133	Test Acc: 0.2244	Test loss: 0.0168
Epoch 10 	Train Acc: 0.3895	Train loss: 0.0131	Test Acc: 0.1463	Test loss: 0.0172
Epoch 11 	Train Acc: 0.3836	Train loss: 0.0130	Test Acc: 0.1989	Test loss: 0.0170
Epoch 12 	Train Acc: 0.4297	Train loss: 0.0124	Test Acc: 0.2148	Test loss: 0.0169
Epoch 13 	Train Acc: 0.4102	Train loss: 0.0128	Test Acc: 0.2143	Test loss: 0.0170
Epoch 14 	Train Acc: 0.4313	Train loss: 0.0123	Test Acc: 0.2046	Test loss: 0.0163
Epoch 15 	Train Acc: 0.4113	Train loss: 0.0124	Test Acc: 0.2526	Test loss: 0.0152
Epoch 16 	Train Acc: 0.4254	Train loss: 0.0125	Test Acc: 0.2838	Test loss: 0.0158
Epoch 17 	Train Acc: 0.3777	Train loss: 0.0128	Test Acc: 0.2577	Test loss: 0.0159
Epoch 18 	Train Acc: 0.4242	Train loss: 0.0124	Test Acc: 0.3136	Test loss: 0.0145
Epoch 19 	Train Acc: 0.4537	Train loss: 0.0226	Test Acc: 0.3000	Test loss: 0.0142
Epoch 20 	Train Acc: 0.4555	Train loss: 0.0116	Test Acc: 0.3301	Test loss: 0.0143
