seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2hyperE, npy_prefix: None, num_clients: 20, num_adv: 8, attack: MinSum, defense: NormClipping, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_NormClipping/200_20_8_0.05_2025-03-13_15-53-54.txt

Started on Thu Mar 13 15:53:54 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0938	Train loss: 0.0184	Test Acc: 0.1225	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1422	Train loss: 0.0177	Test Acc: 0.1532	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1512	Train loss: 0.0174	Test Acc: 0.2070	Test loss: 0.0180
Epoch 3  	Train Acc: 0.3187	Train loss: 0.0163	Test Acc: 0.2833	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3195	Train loss: 0.0156	Test Acc: 0.2353	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3387	Train loss: 0.0150	Test Acc: 0.2819	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3570	Train loss: 0.0143	Test Acc: 0.3309	Test loss: 0.0170
Epoch 7  	Train Acc: 0.3680	Train loss: 0.0138	Test Acc: 0.3171	Test loss: 0.0167
Epoch 8  	Train Acc: 0.4035	Train loss: 0.0134	Test Acc: 0.2512	Test loss: 0.0165
Epoch 9  	Train Acc: 0.3957	Train loss: 0.0132	Test Acc: 0.2282	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3836	Train loss: 0.0132	Test Acc: 0.2764	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3871	Train loss: 0.0131	Test Acc: 0.2599	Test loss: 0.0167
Epoch 12 	Train Acc: 0.3984	Train loss: 0.0127	Test Acc: 0.2149	Test loss: 0.0172
Epoch 13 	Train Acc: 0.4125	Train loss: 0.0124	Test Acc: 0.1504	Test loss: 0.0170
Epoch 14 	Train Acc: 0.3598	Train loss: 0.0139	Test Acc: 0.1975	Test loss: 0.0178
Epoch 15 	Train Acc: 0.4031	Train loss: 0.0154	Test Acc: 0.2531	Test loss: 0.0187
Epoch 16 	Train Acc: 0.3762	Train loss: 0.0161	Test Acc: 0.2408	Test loss: 0.0167
Epoch 17 	Train Acc: 0.4230	Train loss: 0.0128	Test Acc: 0.2809	Test loss: 0.0149
Epoch 18 	Train Acc: 0.4145	Train loss: 0.0129	Test Acc: 0.3171	Test loss: 0.0149
Epoch 19 	Train Acc: 0.3779	Train loss: 0.0242	Test Acc: 0.2787	Test loss: 0.0157
Epoch 20 	Train Acc: 0.4340	Train loss: 0.0121	Test Acc: 0.3146	Test loss: 0.0151
Epoch 21 	Train Acc: 0.4293	Train loss: 0.0122	Test Acc: 0.3854	Test loss: 0.0140
Epoch 22 	Train Acc: 0.4504	Train loss: 0.0121	Test Acc: 0.4308	Test loss: 0.0135
Epoch 23 	Train Acc: 0.4348	Train loss: 0.0122	Test Acc: 0.4373	Test loss: 0.0133
Epoch 24 	Train Acc: 0.4441	Train loss: 0.0122	Test Acc: 0.4281	Test loss: 0.0133
Epoch 25 	Train Acc: 0.4688	Train loss: 0.0116	Test Acc: 0.3954	Test loss: 0.0135
Epoch 26 	Train Acc: 0.4660	Train loss: 0.0113	Test Acc: 0.3920	Test loss: 0.0134
Epoch 27 	Train Acc: 0.4711	Train loss: 0.0116	Test Acc: 0.4249	Test loss: 0.0126
Epoch 28 	Train Acc: 0.4957	Train loss: 0.0110	Test Acc: 0.4486	Test loss: 0.0118
Epoch 29 	Train Acc: 0.4660	Train loss: 0.0112	Test Acc: 0.4714	Test loss: 0.0114
