seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 64, learning_rate: 0.1, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [0], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: False, npy_file_name: cifar10-test, npy_prefix: None, num_clients: 10, num_adv: 2, attack: NoAttack, defense: Mean, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:0, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_Mean/200_10_2_0.1_2025-03-05_12-06-33.txt

Started on Wed Mar  5 12:06:33 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1125	Train loss: 0.0362	Test Acc: 0.1063	Test loss: 0.0361
Epoch 1  	Train Acc: 0.1906	Train loss: 0.0353	Test Acc: 0.2164	Test loss: 0.0358
Epoch 2  	Train Acc: 0.2781	Train loss: 0.0325	Test Acc: 0.2069	Test loss: 0.0354
Epoch 3  	Train Acc: 0.2547	Train loss: 0.0309	Test Acc: 0.2865	Test loss: 0.0347
Epoch 4  	Train Acc: 0.2891	Train loss: 0.0305	Test Acc: 0.2182	Test loss: 0.0341
Epoch 5  	Train Acc: 0.2188	Train loss: 0.0339	Test Acc: 0.2328	Test loss: 0.0338
Epoch 6  	Train Acc: 0.2703	Train loss: 0.0337	Test Acc: 0.2625	Test loss: 0.0334
Epoch 7  	Train Acc: 0.2516	Train loss: 0.0366	Test Acc: 0.2075	Test loss: 0.0343
Epoch 8  	Train Acc: 0.2188	Train loss: 0.0319	Test Acc: 0.2334	Test loss: 0.0342
Epoch 9  	Train Acc: 0.2969	Train loss: 0.0318	Test Acc: 0.2791	Test loss: 0.0335
Epoch 10 	Train Acc: 0.2891	Train loss: 0.0311	Test Acc: 0.2951	Test loss: 0.0321
Epoch 11 	Train Acc: 0.3484	Train loss: 0.0291	Test Acc: 0.3023	Test loss: 0.0304
Epoch 12 	Train Acc: 0.3031	Train loss: 0.0281	Test Acc: 0.3290	Test loss: 0.0287
Epoch 13 	Train Acc: 0.3266	Train loss: 0.0270	Test Acc: 0.3020	Test loss: 0.0281
Epoch 14 	Train Acc: 0.3266	Train loss: 0.0295	Test Acc: 0.3119	Test loss: 0.0285
Epoch 15 	Train Acc: 0.2891	Train loss: 0.0306	Test Acc: 0.3160	Test loss: 0.0292
Epoch 16 	Train Acc: 0.3156	Train loss: 0.0297	Test Acc: 0.3380	Test loss: 0.0274
Epoch 17 	Train Acc: 0.3391	Train loss: 0.0267	Test Acc: 0.3216	Test loss: 0.0291
Epoch 18 	Train Acc: 0.3828	Train loss: 0.0258	Test Acc: 0.3033	Test loss: 0.0294
Epoch 19 	Train Acc: 0.3344	Train loss: 0.0278	Test Acc: 0.3318	Test loss: 0.0288
Epoch 20 	Train Acc: 0.3547	Train loss: 0.0274	Test Acc: 0.3638	Test loss: 0.0278
Epoch 21 	Train Acc: 0.3812	Train loss: 0.0260	Test Acc: 0.3436	Test loss: 0.0281
Epoch 22 	Train Acc: 0.3734	Train loss: 0.0259	Test Acc: 0.3624	Test loss: 0.0280
Epoch 23 	Train Acc: 0.3953	Train loss: 0.0252	Test Acc: 0.4129	Test loss: 0.0258
Epoch 24 	Train Acc: 0.4203	Train loss: 0.0250	Test Acc: 0.4134	Test loss: 0.0273
Epoch 25 	Train Acc: 0.4219	Train loss: 0.0253	Test Acc: 0.3757	Test loss: 0.0304
Epoch 26 	Train Acc: 0.4219	Train loss: 0.0262	Test Acc: 0.4264	Test loss: 0.0246
Epoch 27 	Train Acc: 0.4266	Train loss: 0.0248	Test Acc: 0.4290	Test loss: 0.0241
Epoch 28 	Train Acc: 0.3891	Train loss: 0.0257	Test Acc: 0.3892	Test loss: 0.0263
Epoch 29 	Train Acc: 0.4672	Train loss: 0.0228	Test Acc: 0.3879	Test loss: 0.0267
Epoch 30 	Train Acc: 0.4266	Train loss: 0.0244	Test Acc: 0.4255	Test loss: 0.0240
Epoch 31 	Train Acc: 0.4484	Train loss: 0.0239	Test Acc: 0.4259	Test loss: 0.0245
