seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.8, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: NormClipping, attack_params: None, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/NoAttack_NormClipping/200_20_4_0.05_2025-03-20_15-12-06.txt

Started on Thu Mar 20 15:12:06 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.8
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1133	Train loss: 0.0181	Test Acc: 0.1139	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1520	Train loss: 0.0176	Test Acc: 0.1599	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2418	Train loss: 0.0171	Test Acc: 0.2317	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2953	Train loss: 0.0163	Test Acc: 0.2738	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3297	Train loss: 0.0155	Test Acc: 0.2986	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3375	Train loss: 0.0150	Test Acc: 0.3185	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3480	Train loss: 0.0145	Test Acc: 0.3272	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3539	Train loss: 0.0142	Test Acc: 0.2683	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3848	Train loss: 0.0136	Test Acc: 0.2676	Test loss: 0.0166
Epoch 9  	Train Acc: 0.3941	Train loss: 0.0134	Test Acc: 0.2570	Test loss: 0.0164
Epoch 10 	Train Acc: 0.3992	Train loss: 0.0129	Test Acc: 0.2046	Test loss: 0.0164
Epoch 11 	Train Acc: 0.3840	Train loss: 0.0133	Test Acc: 0.2056	Test loss: 0.0167
Epoch 12 	Train Acc: 0.3563	Train loss: 0.0137	Test Acc: 0.2153	Test loss: 0.0164
Epoch 13 	Train Acc: 0.3972	Train loss: 0.0267	Test Acc: 0.2213	Test loss: 0.0166
Epoch 14 	Train Acc: 0.3362	Train loss: 0.0157	Test Acc: 0.2154	Test loss: 0.0173
Epoch 15 	Train Acc: 0.3356	Train loss: 0.0194	Test Acc: 0.1893	Test loss: 0.0172
Epoch 16 	Train Acc: 0.3067	Train loss: 0.0198	Test Acc: 0.3078	Test loss: 0.0153
Epoch 17 	Train Acc: 0.4181	Train loss: 0.0140	Test Acc: 0.3088	Test loss: 0.0149
Epoch 18 	Train Acc: 0.3341	Train loss: 0.0312	Test Acc: 0.3850	Test loss: 0.0137
Epoch 19 	Train Acc: 0.4305	Train loss: 0.0127	Test Acc: 0.4044	Test loss: 0.0137
Epoch 20 	Train Acc: 0.3927	Train loss: 0.0132	Test Acc: 0.4082	Test loss: 0.0139
Epoch 21 	Train Acc: 0.4199	Train loss: 0.0130	Test Acc: 0.4201	Test loss: 0.0137
Epoch 22 	Train Acc: 0.4236	Train loss: 0.0167	Test Acc: 0.4312	Test loss: 0.0131
Epoch 23 	Train Acc: 0.4316	Train loss: 0.0125	Test Acc: 0.4388	Test loss: 0.0124
Epoch 24 	Train Acc: 0.4359	Train loss: 0.0122	Test Acc: 0.4397	Test loss: 0.0119
Epoch 25 	Train Acc: 0.4371	Train loss: 0.0119	Test Acc: 0.4515	Test loss: 0.0117
Epoch 26 	Train Acc: 0.4758	Train loss: 0.0155	Test Acc: 0.4086	Test loss: 0.0121
Epoch 27 	Train Acc: 0.4524	Train loss: 0.0204	Test Acc: 0.4625	Test loss: 0.0115
Epoch 28 	Train Acc: 0.4586	Train loss: 0.0115	Test Acc: 0.4678	Test loss: 0.0115
Epoch 29 	Train Acc: 0.4880	Train loss: 0.0123	Test Acc: 0.4274	Test loss: 0.0123
Epoch 30 	Train Acc: 0.4598	Train loss: 0.0116	Test Acc: 0.4736	Test loss: 0.0114
Epoch 31 	Train Acc: 0.4961	Train loss: 0.0121	Test Acc: 0.4404	Test loss: 0.0119
Epoch 32 	Train Acc: 0.5105	Train loss: 0.0106	Test Acc: 0.4010	Test loss: 0.0128
Epoch 33 	Train Acc: 0.4915	Train loss: 0.0142	Test Acc: 0.4653	Test loss: 0.0114
Epoch 34 	Train Acc: 0.4988	Train loss: 0.0107	Test Acc: 0.4859	Test loss: 0.0111
Epoch 35 	Train Acc: 0.5104	Train loss: 0.0125	Test Acc: 0.5073	Test loss: 0.0110
Epoch 36 	Train Acc: 0.5180	Train loss: 0.0105	Test Acc: 0.4771	Test loss: 0.0112
Epoch 37 	Train Acc: 0.4941	Train loss: 0.0205	Test Acc: 0.5310	Test loss: 0.0103
Epoch 38 	Train Acc: 0.5281	Train loss: 0.0102	Test Acc: 0.4920	Test loss: 0.0109
Epoch 39 	Train Acc: 0.5020	Train loss: 0.0105	Test Acc: 0.5190	Test loss: 0.0104
Epoch 40 	Train Acc: 0.5320	Train loss: 0.0101	Test Acc: 0.5469	Test loss: 0.0099
Epoch 41 	Train Acc: 0.5247	Train loss: 0.0195	Test Acc: 0.5123	Test loss: 0.0106
Epoch 42 	Train Acc: 0.5281	Train loss: 0.0102	Test Acc: 0.5422	Test loss: 0.0100
Epoch 43 	Train Acc: 0.5395	Train loss: 0.0099	Test Acc: 0.5588	Test loss: 0.0097
Epoch 44 	Train Acc: 0.5617	Train loss: 0.0103	Test Acc: 0.5389	Test loss: 0.0101
Epoch 45 	Train Acc: 0.5551	Train loss: 0.0121	Test Acc: 0.5407	Test loss: 0.0101
Epoch 46 	Train Acc: 0.5637	Train loss: 0.0093	Test Acc: 0.5696	Test loss: 0.0094
Epoch 47 	Train Acc: 0.5970	Train loss: 0.0107	Test Acc: 0.5768	Test loss: 0.0094
Epoch 48 	Train Acc: 0.5777	Train loss: 0.0094	Test Acc: 0.5881	Test loss: 0.0091
Epoch 49 	Train Acc: 0.6043	Train loss: 0.0088	Test Acc: 0.5737	Test loss: 0.0093
Epoch 50 	Train Acc: 0.5811	Train loss: 0.0105	Test Acc: 0.5674	Test loss: 0.0096
Epoch 51 	Train Acc: 0.5908	Train loss: 0.0090	Test Acc: 0.5825	Test loss: 0.0094
Epoch 52 	Train Acc: 0.6219	Train loss: 0.0086	Test Acc: 0.5853	Test loss: 0.0092
Epoch 53 	Train Acc: 0.5772	Train loss: 0.0157	Test Acc: 0.5937	Test loss: 0.0090
Epoch 54 	Train Acc: 0.5945	Train loss: 0.0090	Test Acc: 0.5909	Test loss: 0.0090
Epoch 55 	Train Acc: 0.6256	Train loss: 0.0146	Test Acc: 0.6042	Test loss: 0.0088
Epoch 56 	Train Acc: 0.6294	Train loss: 0.0182	Test Acc: 0.5729	Test loss: 0.0094
Epoch 57 	Train Acc: 0.6172	Train loss: 0.0083	Test Acc: 0.5447	Test loss: 0.0100
Epoch 58 	Train Acc: 0.5703	Train loss: 0.0092	Test Acc: 0.5798	Test loss: 0.0091
Epoch 59 	Train Acc: 0.5851	Train loss: 0.0096	Test Acc: 0.5602	Test loss: 0.0097
Epoch 60 	Train Acc: 0.6055	Train loss: 0.0084	Test Acc: 0.5901	Test loss: 0.0091
Epoch 61 	Train Acc: 0.6211	Train loss: 0.0083	Test Acc: 0.5678	Test loss: 0.0096
Epoch 62 	Train Acc: 0.5936	Train loss: 0.0090	Test Acc: 0.5873	Test loss: 0.0091
Epoch 63 	Train Acc: 0.6335	Train loss: 0.0093	Test Acc: 0.5996	Test loss: 0.0090
Epoch 64 	Train Acc: 0.6367	Train loss: 0.0083	Test Acc: 0.6171	Test loss: 0.0085
Epoch 65 	Train Acc: 0.6203	Train loss: 0.0083	Test Acc: 0.6226	Test loss: 0.0084
Epoch 66 	Train Acc: 0.6383	Train loss: 0.0080	Test Acc: 0.6354	Test loss: 0.0082
Epoch 67 	Train Acc: 0.6241	Train loss: 0.0099	Test Acc: 0.6255	Test loss: 0.0082
Epoch 68 	Train Acc: 0.6445	Train loss: 0.0099	Test Acc: 0.6291	Test loss: 0.0081
Epoch 69 	Train Acc: 0.6350	Train loss: 0.0143	Test Acc: 0.6433	Test loss: 0.0080
Epoch 70 	Train Acc: 0.6441	Train loss: 0.0078	Test Acc: 0.6248	Test loss: 0.0084
Epoch 71 	Train Acc: 0.6487	Train loss: 0.0089	Test Acc: 0.6323	Test loss: 0.0083
Epoch 72 	Train Acc: 0.6582	Train loss: 0.0077	Test Acc: 0.6366	Test loss: 0.0080
Epoch 73 	Train Acc: 0.6535	Train loss: 0.0077	Test Acc: 0.6221	Test loss: 0.0085
Epoch 74 	Train Acc: 0.6407	Train loss: 0.0087	Test Acc: 0.6429	Test loss: 0.0079
Epoch 75 	Train Acc: 0.6497	Train loss: 0.0189	Test Acc: 0.6523	Test loss: 0.0078
Epoch 76 	Train Acc: 0.6750	Train loss: 0.0073	Test Acc: 0.6540	Test loss: 0.0078
Epoch 77 	Train Acc: 0.6533	Train loss: 0.0075	Test Acc: 0.6374	Test loss: 0.0081
Epoch 78 	Train Acc: 0.6746	Train loss: 0.0073	Test Acc: 0.6647	Test loss: 0.0075
Epoch 79 	Train Acc: 0.6773	Train loss: 0.0079	Test Acc: 0.6647	Test loss: 0.0075
Epoch 80 	Train Acc: 0.6792	Train loss: 0.0103	Test Acc: 0.6493	Test loss: 0.0079
Epoch 81 	Train Acc: 0.6809	Train loss: 0.0070	Test Acc: 0.6632	Test loss: 0.0076
Epoch 82 	Train Acc: 0.6973	Train loss: 0.0070	Test Acc: 0.6451	Test loss: 0.0078
Epoch 83 	Train Acc: 0.6622	Train loss: 0.0146	Test Acc: 0.6401	Test loss: 0.0080
Epoch 84 	Train Acc: 0.6801	Train loss: 0.0088	Test Acc: 0.6654	Test loss: 0.0075
Epoch 85 	Train Acc: 0.6687	Train loss: 0.0073	Test Acc: 0.6185	Test loss: 0.0084
Epoch 86 	Train Acc: 0.6680	Train loss: 0.0073	Test Acc: 0.6505	Test loss: 0.0077
Epoch 87 	Train Acc: 0.6844	Train loss: 0.0069	Test Acc: 0.6594	Test loss: 0.0077
Epoch 88 	Train Acc: 0.6781	Train loss: 0.0074	Test Acc: 0.6516	Test loss: 0.0078
Epoch 89 	Train Acc: 0.6748	Train loss: 0.0086	Test Acc: 0.6619	Test loss: 0.0078
Epoch 90 	Train Acc: 0.6957	Train loss: 0.0070	Test Acc: 0.6507	Test loss: 0.0079
Epoch 91 	Train Acc: 0.7006	Train loss: 0.0089	Test Acc: 0.6661	Test loss: 0.0075
Epoch 92 	Train Acc: 0.6926	Train loss: 0.0069	Test Acc: 0.6589	Test loss: 0.0077
Epoch 93 	Train Acc: 0.6937	Train loss: 0.0068	Test Acc: 0.6659	Test loss: 0.0075
Epoch 94 	Train Acc: 0.7056	Train loss: 0.0116	Test Acc: 0.6694	Test loss: 0.0075
Epoch 95 	Train Acc: 0.6896	Train loss: 0.0078	Test Acc: 0.6553	Test loss: 0.0076
Epoch 96 	Train Acc: 0.6977	Train loss: 0.0067	Test Acc: 0.6709	Test loss: 0.0074
Epoch 97 	Train Acc: 0.6875	Train loss: 0.0139	Test Acc: 0.6485	Test loss: 0.0079
Epoch 98 	Train Acc: 0.6879	Train loss: 0.0068	Test Acc: 0.6583	Test loss: 0.0077
Epoch 99 	Train Acc: 0.6930	Train loss: 0.0068	Test Acc: 0.6469	Test loss: 0.0081
Epoch 100	Train Acc: 0.6914	Train loss: 0.0067	Test Acc: 0.6805	Test loss: 0.0073
Epoch 101	Train Acc: 0.7136	Train loss: 0.0078	Test Acc: 0.6773	Test loss: 0.0073
Epoch 102	Train Acc: 0.7117	Train loss: 0.0065	Test Acc: 0.6640	Test loss: 0.0075
Epoch 103	Train Acc: 0.7035	Train loss: 0.0068	Test Acc: 0.6951	Test loss: 0.0069
Epoch 104	Train Acc: 0.7298	Train loss: 0.0068	Test Acc: 0.6817	Test loss: 0.0072
Epoch 105	Train Acc: 0.7207	Train loss: 0.0062	Test Acc: 0.6613	Test loss: 0.0076
Epoch 106	Train Acc: 0.7199	Train loss: 0.0063	Test Acc: 0.6980	Test loss: 0.0070
Epoch 107	Train Acc: 0.7229	Train loss: 0.0093	Test Acc: 0.6819	Test loss: 0.0072
Epoch 108	Train Acc: 0.7234	Train loss: 0.0064	Test Acc: 0.6776	Test loss: 0.0073
Epoch 109	Train Acc: 0.7027	Train loss: 0.0066	Test Acc: 0.6738	Test loss: 0.0074
Epoch 110	Train Acc: 0.7070	Train loss: 0.0065	Test Acc: 0.6795	Test loss: 0.0073
Epoch 111	Train Acc: 0.7004	Train loss: 0.0141	Test Acc: 0.6672	Test loss: 0.0075
Epoch 112	Train Acc: 0.7113	Train loss: 0.0064	Test Acc: 0.6520	Test loss: 0.0078
Epoch 113	Train Acc: 0.7224	Train loss: 0.0102	Test Acc: 0.6592	Test loss: 0.0076
Epoch 114	Train Acc: 0.6968	Train loss: 0.0099	Test Acc: 0.6527	Test loss: 0.0078
Epoch 115	Train Acc: 0.6902	Train loss: 0.0066	Test Acc: 0.5985	Test loss: 0.0091
Epoch 116	Train Acc: 0.6758	Train loss: 0.0068	Test Acc: 0.6540	Test loss: 0.0076
Epoch 117	Train Acc: 0.7059	Train loss: 0.0066	Test Acc: 0.6650	Test loss: 0.0075
Epoch 118	Train Acc: 0.6931	Train loss: 0.0083	Test Acc: 0.6726	Test loss: 0.0073
Epoch 119	Train Acc: 0.6986	Train loss: 0.0069	Test Acc: 0.6784	Test loss: 0.0072
Epoch 120	Train Acc: 0.7238	Train loss: 0.0063	Test Acc: 0.6819	Test loss: 0.0071
Epoch 121	Train Acc: 0.7230	Train loss: 0.0061	Test Acc: 0.6835	Test loss: 0.0071
Epoch 122	Train Acc: 0.7473	Train loss: 0.0060	Test Acc: 0.6788	Test loss: 0.0072
Epoch 123	Train Acc: 0.7301	Train loss: 0.0061	Test Acc: 0.6948	Test loss: 0.0069
Epoch 124	Train Acc: 0.7281	Train loss: 0.0060	Test Acc: 0.6979	Test loss: 0.0068
Epoch 125	Train Acc: 0.7391	Train loss: 0.0102	Test Acc: 0.6984	Test loss: 0.0068
Epoch 126	Train Acc: 0.7371	Train loss: 0.0059	Test Acc: 0.7012	Test loss: 0.0067
Epoch 127	Train Acc: 0.7504	Train loss: 0.0063	Test Acc: 0.7038	Test loss: 0.0067
Epoch 128	Train Acc: 0.7371	Train loss: 0.0058	Test Acc: 0.7027	Test loss: 0.0068
Epoch 129	Train Acc: 0.7533	Train loss: 0.0057	Test Acc: 0.7080	Test loss: 0.0067
Epoch 130	Train Acc: 0.7418	Train loss: 0.0058	Test Acc: 0.7098	Test loss: 0.0066
Epoch 131	Train Acc: 0.7418	Train loss: 0.0057	Test Acc: 0.7040	Test loss: 0.0067
Epoch 132	Train Acc: 0.7522	Train loss: 0.0151	Test Acc: 0.7037	Test loss: 0.0067
Epoch 133	Train Acc: 0.7496	Train loss: 0.0057	Test Acc: 0.6974	Test loss: 0.0069
Epoch 134	Train Acc: 0.7425	Train loss: 0.0088	Test Acc: 0.6857	Test loss: 0.0072
Epoch 135	Train Acc: 0.7479	Train loss: 0.0071	Test Acc: 0.6921	Test loss: 0.0070
Epoch 136	Train Acc: 0.7480	Train loss: 0.0055	Test Acc: 0.7109	Test loss: 0.0065
Epoch 137	Train Acc: 0.7674	Train loss: 0.0072	Test Acc: 0.7012	Test loss: 0.0068
Epoch 138	Train Acc: 0.7387	Train loss: 0.0057	Test Acc: 0.7085	Test loss: 0.0066
Epoch 139	Train Acc: 0.7679	Train loss: 0.0092	Test Acc: 0.7181	Test loss: 0.0065
Epoch 140	Train Acc: 0.7816	Train loss: 0.0050	Test Acc: 0.7141	Test loss: 0.0065
Epoch 141	Train Acc: 0.7586	Train loss: 0.0055	Test Acc: 0.7220	Test loss: 0.0063
Epoch 142	Train Acc: 0.7582	Train loss: 0.0054	Test Acc: 0.7132	Test loss: 0.0065
